title,make,model,year,mileage_km,price_usd,fuel,gearbox,city,listing_date,url
Lexus NX 2023,Lexus,NX,2023,11000,49999,Гібрид,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_lexus_nx_38946941.html
Audi Q3 2012,Audi,Q3,2012,240000,12000,Бензин,Автомат,Запоріжжя,2026-06-29,https://auto.ria.com/uk/auto_audi_q3_40084067.html
Ford Fusion 2015,Ford,Fusion,2015,147000,10500,Бензин,Автомат,Кам'янське (Дніпродзержинськ),2026-06-29,https://auto.ria.com/uk/auto_ford_fusion_40083994.html
Mercedes-Benz S-Class 2006,Mercedes-Benz,S-Class,2006,415000,10500,Бензин,Автомат,Рівне (Рівненська),2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_s-class_40083984.html
Volkswagen Golf 2018,Volkswagen,Golf,2018,232000,14600,Дизель,Ручна / Механіка,Вінниця,2026-06-29,https://auto.ria.com/uk/auto_volkswagen_golf_39697433.html
Mercedes-Benz E-Class 2024,Mercedes-Benz,E-Class,2024,23000,109999,Дизель,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_e-class_39803294.html
BMW 5 Series 2008,BMW,5,2008,295000,10500,Бензин,Автомат,Харків,2026-06-29,https://auto.ria.com/uk/auto_bmw_5-series_40083784.html
Peugeot 3008 2015,Peugeot,3008,2015,215000,11300,Дизель,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_peugeot_3008_40083804.html
Mercedes-Benz Vito 2021,Mercedes-Benz,Vito,2021,236000,28000,Дизель,Автомат,Житомир,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_vito_40073936.html
Mitsubishi Outlander 2005,Mitsubishi,Outlander,2005,276000,5950,Бензин,Автомат,Бровари,2026-06-29,https://auto.ria.com/uk/auto_mitsubishi_outlander_40083425.html
Volkswagen e-Golf 2018,Volkswagen,e-Golf,2018,105000,12600,Електро,,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_volkswagen_e-golf_40026896.html
Audi Q5 2012,Audi,Q5,2012,292000,11500,Бензин,Автомат,Вінниця,2026-06-29,https://auto.ria.com/uk/auto_audi_q5_39808430.html
Nissan Qashqai 2012,Nissan,Qashqai,2012,310000,9700,Бензин,Автомат,Хуст,2026-06-29,https://auto.ria.com/uk/auto_nissan_qashqai_40082572.html
Audi A8 2020,Audi,A8,2020,89000,58900,Гібрид,Автомат,Київ,,https://auto.ria.com/uk/auto_audi_a8_39741949.html
Audi A6 2000,Audi,A6,2000,270000,5150,Бензин,Ручна / Механіка,Сколе,2026-06-28,https://auto.ria.com/uk/auto_audi_a6_40080150.html
Audi Q8 2025,Audi,Q8,2025,11000,94800,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_audi_q8_40025792.html
Land Rover Range Rover Evoque 2016,Land,Rover,2016,162000,19290,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_40025607.html
Ford Fusion 2020,Ford,Fusion,2020,89000,16500,Бензин,Автомат,Хмельницький,2026-06-27,https://auto.ria.com/uk/auto_ford_fusion_40077239.html
Tesla Model S 2015,Tesla,Model,2015,170000,14500,Електро,,Хмельницький,2026-06-27,https://auto.ria.com/uk/auto_tesla_model-s_35740712.html
Volkswagen Jetta 2019,Volkswagen,Jetta,2019,200000,13200,Бензин,Автомат,Ужгород,2026-06-27,https://auto.ria.com/uk/auto_volkswagen_jetta_40076158.html
Mercedes-Benz GLK-Class 2014,Mercedes-Benz,GLK-Class,2014,123000,19490,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_mercedes-benz_glk-class_40024815.html
Mercedes-Benz S-Class 2021,Mercedes-Benz,S-Class,2021,42000,90000,Бензин,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_mercedes-benz_s-class_39255232.html
Infiniti QX50 2015,Infiniti,QX50,2015,143000,12900,Бензин,Автомат,Одеса,2026-06-26,https://auto.ria.com/uk/auto_infiniti_qx50_39973215.html
Subaru Forester 2011,Subaru,Forester,2011,199000,11000,Бензин,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_subaru_forester_40067824.html
BMW X5 2011,BMW,X5,2011,277000,14700,Дизель,Автомат,Чернівці (Чернівецька),2026-06-25,https://auto.ria.com/uk/auto_bmw_x5_39930219.html
Mitsubishi Pajero Sport 2017,Mitsubishi,Pajero,2017,148000,21200,Дизель,Автомат,Ірпінь,2026-06-24,https://auto.ria.com/uk/auto_mitsubishi_pajero-sport_39925778.html
BMW 3 Series 2013,BMW,3,2013,260000,12500,Дизель,Автомат,Хмельницький,2026-06-24,https://auto.ria.com/uk/auto_bmw_3-series_39785095.html
BMW X5 2020,BMW,X5,2020,199000,49900,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_bmw_x5_39878208.html
Mercedes-Benz C-Class 2013,Mercedes-Benz,C-Class,2013,156000,12500,Бензин,Автомат,Бар,2026-06-23,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39645956.html
Toyota Camry 2015,Toyota,Camry,2015,191000,12500,Бензин,Автомат,Кропивницький (Кіровоград),2026-06-23,https://auto.ria.com/uk/auto_toyota_camry_40057738.html
Volkswagen CC / Passat CC 2013,Volkswagen,CC,2013,208000,13200,Дизель,Автомат,Житомир,2026-06-23,https://auto.ria.com/uk/auto_volkswagen_cc-passat-cc_39919534.html
Mercedes-Benz S-Class 2016,Mercedes-Benz,S-Class,2016,88000,28990,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_mercedes-benz_s-class_40022131.html
BMW 7 Series 2011,BMW,7,2011,232000,10500,Бензин,Автомат,Одеса,2026-06-22,https://auto.ria.com/uk/auto_bmw_7-series_40054129.html
Mazda 3 2008,Mazda,3,2008,143000,6300,Бензин,Автомат,Суми,2026-06-22,https://auto.ria.com/uk/auto_mazda_3_40052724.html
Skoda Superb 2013,Skoda,Superb,2013,260000,11700,Дизель,Автомат,Вінниця,2026-06-21,https://auto.ria.com/uk/auto_skoda_superb_39902042.html
BMW X5 M 2011,BMW,X5,2011,177000,19990,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_bmw_x5-m_40021383.html
Kia Optima 2019,Kia,Optima,2019,110000,13250,Бензин,Автомат,Київ,2026-06-20,https://auto.ria.com/uk/auto_kia_optima_39909477.html
Renault Kangoo 2012,Renault,Kangoo,2012,235000,10800,Дизель,Ручна / Механіка,Богуслав (Київська),2026-06-20,https://auto.ria.com/uk/auto_renault_kangoo_40044740.html
Nissan Rogue 2017,Nissan,Rogue,2017,145000,13500,Бензин,Автомат,Одеса,2026-06-19,https://auto.ria.com/uk/auto_nissan_rogue_40041234.html
Ford Focus 2014,Ford,Focus,2014,122000,6400,Бензин,Автомат,Петропавлівська Борщагівка,2026-06-19,https://auto.ria.com/uk/auto_ford_focus_40041061.html
Audi A6 2014,Audi,A6,2014,165000,19990,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_audi_a6_40019934.html
Mazda 6 2015,Mazda,6,2015,126000,11900,Бензин,Автомат,Васильків,2026-06-17,https://auto.ria.com/uk/auto_mazda_6_40033871.html
Nissan Rogue 2014,Nissan,Rogue,2014,178000,11750,Бензин,Варіатор,Хмельницький,2026-06-16,https://auto.ria.com/uk/auto_nissan_rogue_36958592.html
Mercedes-Benz GLS-Class 2017,Mercedes-Benz,GLS-Class,2017,61000,44950,Бензин,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_40027841.html
Volkswagen Passat 2014,Volkswagen,Passat,2014,169000,12200,Бензин,Автомат,Дніпро (Дніпропетровськ),2026-06-14,https://auto.ria.com/uk/auto_volkswagen_passat_39881219.html
Volkswagen Tiguan 2013,Volkswagen,Tiguan,2013,202000,14500,Бензин,Ручна / Механіка,Миколаїв (Миколаївська),2026-06-14,https://auto.ria.com/uk/auto_volkswagen_tiguan_40017513.html
Audi Q7 2013,Audi,Q7,2013,238000,12500,Бензин,Автомат,Івано-Франківськ,2026-06-12,https://auto.ria.com/uk/auto_audi_q7_39822839.html
BMW 5 Series 2011,BMW,5,2011,228000,12300,Бензин,Автомат,Івано-Франківськ,2026-06-12,https://auto.ria.com/uk/auto_bmw_5-series_39592710.html
Infiniti QX60 2019,Infiniti,QX60,2019,128000,18000,Бензин,Варіатор,Київ,2026-06-12,https://auto.ria.com/uk/auto_infiniti_qx60_40007711.html
Hyundai ix35 2015,Hyundai,ix35,2015,169000,14400,Дизель,Автомат,Вінниця,2026-06-10,https://auto.ria.com/uk/auto_hyundai_ix35_39579903.html
Mazda 3 2014,Mazda,3,2014,160000,9700,Бензин,Автомат,Рівне (Рівненська),2026-06-10,https://auto.ria.com/uk/auto_mazda_3_39999093.html
Chery Tiggo 4 2022,Chery,Tiggo,2022,47000,13500,Бензин,Варіатор,Суми,2026-06-06,https://auto.ria.com/uk/auto_chery_tiggo-4_39982606.html
BMW 5 Series 2011,BMW,5,2011,217000,13500,Бензин,Автомат,Первомайськ (Миколаївська),,https://auto.ria.com/uk/auto_bmw_5-series_38399378.html
Nissan Qashqai 2017,Nissan,Qashqai,2017,150000,16990,Дизель,Варіатор,Київ,,https://auto.ria.com/uk/auto_nissan_qashqai_39539123.html
Lexus RX 2007,Lexus,RX,2007,265000,10500,Бензин,Автомат,Миколаїв (Миколаївська),,https://auto.ria.com/uk/auto_lexus_rx_39243288.html
Lexus NX 2014,Lexus,NX,2014,105000,26500,Гібрид,Варіатор,Дніпро (Дніпропетровськ),,https://auto.ria.com/uk/auto_lexus_nx_40085951.html
Ford Ranger 2021,Ford,Ranger,2021,64000,31000,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_ford_ranger_40085027.html
Peugeot 308 2008,Peugeot,308,2008,193000,5600,Бензин,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_peugeot_308_39295272.html
Hyundai Veloster 2013,Hyundai,Veloster,2013,193000,5999,Бензин,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_hyundai_veloster_39649267.html
Chrysler 200 2015,Chrysler,200,2015,141000,9500,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_chrysler_200_39796675.html
Mercedes-Benz E-Class 1990,Mercedes-Benz,E-Class,1990,520000,2500,Дизель,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_e-class_40083682.html
Renault Duster 2012,Renault,Duster,2012,146000,10900,Бензин,Автомат,Бровари,2026-06-29,https://auto.ria.com/uk/auto_renault_duster_40083582.html
BMW 7 Series 2025,BMW,7,2025,7000,152900,Дизель,Автомат,Львів (Львівська),2026-06-28,https://auto.ria.com/uk/auto_bmw_7-series_40082110.html
BMW X5 2011,BMW,X5,2011,356000,12990,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_bmw_x5_40016459.html
Nissan Qashqai 2015,Nissan,Qashqai,2015,208000,13490,Бензин,Варіатор,Київ,,https://auto.ria.com/uk/auto_nissan_qashqai_40016440.html
Ford Fusion 2014,Ford,Fusion,2014,301000,8999,Бензин,Автомат,Хмельницький,2026-06-27,https://auto.ria.com/uk/auto_ford_fusion_40077537.html
BMW X5 2001,BMW,X5,2001,410000,7900,Дизель,Автомат,Одеса,2026-06-26,https://auto.ria.com/uk/auto_bmw_x5_40074633.html
Dodge Dart 2013,Dodge,Dart,2013,360000,5900,Бензин,Ручна / Механіка,Бровари,2026-06-26,https://auto.ria.com/uk/auto_dodge_dart_40071716.html
Ford Mondeo 2013,Ford,Mondeo,2013,218000,6490,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_ford_mondeo_40015611.html
Mazda MX-5 2016,Mazda,MX-5,2016,98000,15700,Бензин,Автомат,Львів (Львівська),2026-06-26,https://auto.ria.com/uk/auto_mazda_mx-5_40071414.html
Skoda Octavia 2003,Skoda,Octavia,2003,428000,4250,Бензин,Ручна / Механіка,Хмельницький,2026-06-23,https://auto.ria.com/uk/auto_skoda_octavia_40058867.html
Skoda Octavia 2019,Skoda,Octavia,2019,250000,14700,Дизель,Автомат,Рівне (Рівненська),2026-06-16,https://auto.ria.com/uk/auto_skoda_octavia_39877852.html
Toyota Yaris 2013,Toyota,Yaris,2013,120000,11700,Гібрид,Автомат,Київ,2026-06-14,https://auto.ria.com/uk/auto_toyota_yaris_39844590.html
Ford Focus 2015,Ford,Focus,2015,140000,7500,Бензин,Автомат,Бровари,2026-06-13,https://auto.ria.com/uk/auto_ford_focus_38551407.html
Audi S5 Sportback 2017,Audi,S5,2017,202000,28500,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_audi_s5-sportback_40012333.html
Haval H6 2021,Haval,H6,2021,47000,19900,Бензин,Робот,Шевченкове (Харківська),2026-06-11,https://auto.ria.com/uk/auto_haval_h6_40001916.html
Daewoo Lanos 2005,Daewoo,Lanos,2005,188000,2500,Бензин,Ручна / Механіка,Полтава,2026-06-10,https://auto.ria.com/uk/auto_daewoo_lanos_40001616.html
Mazda CX-90 2024,Mazda,CX-90,2024,6000,46000,Гібрид,Автомат,Київ,2026-06-09,https://auto.ria.com/uk/auto_mazda_cx-90_39994278.html
Audi Q7 2015,Audi,Q7,2015,246000,14990,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_audi_q7_40011793.html
Volvo V60 2011,Volvo,V60,2011,215000,8700,Дизель,Ручна / Механіка,Луцьк,2026-06-06,https://auto.ria.com/uk/auto_volvo_v60_39981858.html
Volvo V90 Cross Country 2017,Volvo,V90,2017,313000,22200,Дизель,Автомат,Київ,2026-06-05,https://auto.ria.com/uk/auto_volvo_v90-cross-country_39701713.html
Skoda Octavia 2011,Skoda,Octavia,2011,152000,7400,Бензин,Автомат,Харків,,https://auto.ria.com/uk/auto_skoda_octavia_39968670.html
Volvo XC90 2018,Volvo,XC90,2018,218000,29500,Бензин,Автомат,Рівне (Рівненська),2026-06-29,https://auto.ria.com/uk/auto_volvo_xc90_40018106.html
Tesla Model S 2014,Tesla,Model,2014,180000,14500,Електро,,Бровари,,https://auto.ria.com/uk/auto_tesla_model-s_40085397.html
Opel Astra 2019,Opel,Astra,2019,127000,11000,Дизель,Ручна / Механіка,Київ,2026-06-29,https://auto.ria.com/uk/auto_opel_astra_40085917.html
Audi 100 1991,Audi,100,1991,415000,2499,Бензин,Ручна / Механіка,Чортків,2026-06-29,https://auto.ria.com/uk/auto_audi_100_40085916.html
Smart Fortwo 2015,Smart,Fortwo,2015,160000,8000,Бензин,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_smart_fortwo_39985759.html
Opel Astra 2017,Opel,Astra,2017,233000,11300,Дизель,Ручна / Механіка,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_opel_astra_40085882.html
Volvo XC60 2009,Volvo,XC60,2009,281000,12800,Дизель,Типтронік,Житомир,2026-06-29,https://auto.ria.com/uk/auto_volvo_xc60_40085868.html
Audi Q7 2017,Audi,Q7,2017,185000,26900,Бензин,Типтронік,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_q7_40085819.html
Nissan TIIDA 2008,Nissan,TIIDA,2008,176000,6000,Бензин,Ручна / Механіка,Київ,2026-06-29,https://auto.ria.com/uk/auto_nissan_tiida_40085748.html
Audi Q5 2015,Audi,Q5,2015,228000,15800,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_audi_q5_40085740.html
Chery Tiggo 7 2018,Chery,Tiggo,2018,88000,11799,Бензин,Ручна / Механіка,Суми,2026-06-29,https://auto.ria.com/uk/auto_chery_tiggo-7_40085734.html
Volkswagen Tiguan 2017,Volkswagen,Tiguan,2017,144000,12999,Бензин,Автомат,Дубно,2026-06-29,https://auto.ria.com/uk/auto_volkswagen_tiguan_40085566.html
Hyundai Tucson 2016,Hyundai,Tucson,2016,117000,18200,Дизель,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_hyundai_tucson_39963076.html
Tesla Model Y 2025,Tesla,Model,2025,6000,38999,Електро,,Вінниця,2026-06-29,https://auto.ria.com/uk/auto_tesla_model-y_40008785.html
Skoda Octavia 2023,Skoda,Octavia,2023,224000,20450,Дизель,Автомат,Бердичів,2026-06-29,https://auto.ria.com/uk/auto_skoda_octavia_39958119.html
BMW 4 Series 2016,BMW,4,2016,173000,19600,Бензин,Автомат,Луцьк,2026-06-29,https://auto.ria.com/uk/auto_bmw_4-series_40085379.html
Mercedes-Benz E-Class 2021,Mercedes-Benz,E-Class,2021,64000,59000,Дизель,Автомат,Вінниця,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_e-class_40085360.html
BMW 5 Series 2013,BMW,5,2013,130000,17999,Бензин,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_bmw_5-series_40085346.html
Renault Logan 2014,Renault,Logan,2014,163000,4300,Бензин,Ручна / Механіка,Дніпро (Дніпропетровськ),2026-06-29,https://auto.ria.com/uk/auto_renault_logan_39968838.html
Audi Q5 2016,Audi,Q5,2016,240000,29500,Дизель,Автомат,Стрий,2026-06-29,https://auto.ria.com/uk/auto_audi_q5_40085222.html
Cupra Formentor 2024,Cupra,Formentor,2024,25000,43000,Бензин,Робот,Софіївська Борщагівка,2026-06-29,https://auto.ria.com/uk/auto_cupra_formentor_40085043.html
Daewoo Lanos 2008,Daewoo,Lanos,2008,236000,2600,Бензин,Ручна / Механіка,Дрогобич,2026-06-29,https://auto.ria.com/uk/auto_daewoo_lanos_40069534.html
BMW 4 Series 2016,BMW,4,2016,125000,16800,Бензин,Автомат,Хмельницький,2026-06-29,https://auto.ria.com/uk/auto_bmw_4-series_40084498.html
Mercedes-Benz EQA 2022,Mercedes-Benz,EQA,2022,112000,27500,Електро,,Київ,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_eqa_36671119.html
Volvo XC60 2017,Volvo,XC60,2017,267000,25500,Дизель,Автомат,Старокостянтинів,2026-06-29,https://auto.ria.com/uk/auto_volvo_xc60_40084665.html
Mercedes-Benz E-Class 2008,Mercedes-Benz,E-Class,2008,314000,11200,Дизель,Автомат,Хмельницький,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_e-class_40084597.html
Mercedes-Benz C-Class 2002,Mercedes-Benz,C-Class,2002,197000,3999,Бензин,Ручна / Механіка,Ужгород,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_c-class_40084589.html
Jaguar I-Pace 2018,Jaguar,I-Pace,2018,166000,18500,Електро,,Житомир,2026-06-29,https://auto.ria.com/uk/auto_jaguar_i-pace_39965346.html
Audi A3 2004,Audi,A3,2004,281000,6300,Дизель,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_a3_40084517.html
Renault Megane 2008,Renault,Megane,2008,269000,2999,Бензин,Ручна / Механіка,Тернопіль,2026-06-29,https://auto.ria.com/uk/auto_renault_megane_40084481.html
Mercedes-Benz B-Class 2016,Mercedes-Benz,B-Class,2016,110000,10900,Електро,,Рівне (Рівненська),2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_b-class_40084423.html
Audi A6 2009,Audi,A6,2009,267000,10500,Дизель,Автомат,Стрий,2026-06-29,https://auto.ria.com/uk/auto_audi_a6_40084407.html
Audi A6 2017,Audi,A6,2017,110000,15900,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_audi_a6_40084384.html
Acura ILX 2019,Acura,ILX,2019,90000,15500,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_acura_ilx_40084309.html
Audi A5 2015,Audi,A5,2015,177000,13000,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_a5_40084219.html
Audi Q5 2017,Audi,Q5,2017,164000,16999,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_q5_40084229.html
Citroen Berlingo 2015,Citroen,Berlingo,2015,229000,9499,Дизель,Ручна / Механіка,Хмельницький,2026-06-29,https://auto.ria.com/uk/auto_citroen_berlingo_40084195.html
Audi Q5 2014,Audi,Q5,2014,167000,14999,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_q5_40084162.html
Nissan Rogue 2018,Nissan,Rogue,2018,142000,15990,Бензин,Варіатор,Київ,,https://auto.ria.com/uk/auto_nissan_rogue_40007564.html
Renault Fluence 2011,Renault,Fluence,2011,151000,5999,Електро,,Одеса,2026-06-29,https://auto.ria.com/uk/auto_renault_fluence_39649311.html
Volkswagen Passat 2013,Volkswagen,Passat,2013,271000,10700,Дизель,Автомат,Стрий,2026-06-29,https://auto.ria.com/uk/auto_volkswagen_passat_40083971.html
Hyundai Veloster 2013,Hyundai,Veloster,2013,127000,9200,Бензин,Автомат,Хмельницький,2026-06-29,https://auto.ria.com/uk/auto_hyundai_veloster_40083812.html
Infiniti QX50 2021,Infiniti,QX50,2021,41000,24000,Бензин,Варіатор,Чортків,2026-06-29,https://auto.ria.com/uk/auto_infiniti_qx50_40083788.html
Mercedes-Benz CL-Class 2008,Mercedes-Benz,CL-Class,2008,197000,16900,Бензин,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_cl-class_35778848.html
Renault Laguna 2005,Renault,Laguna,2005,310000,4100,Дизель,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_renault_laguna_40083697.html
Opel Zafira 2006,Opel,Zafira,2006,229000,4800,Бензин,Ручна / Механіка,Жмеринка,2026-06-29,https://auto.ria.com/uk/auto_opel_zafira_40083627.html
Renault Logan 2019,Renault,Logan,2019,250000,5300,Бензин,Ручна / Механіка,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_renault_logan_39670682.html
Audi A5 2012,Audi,A5,2012,223000,9799,Бензин,Робот,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_a5_40083393.html
Volvo S60 2013,Volvo,S60,2013,203000,8999,Бензин,Автомат,Рівне (Рівненська),2026-06-29,https://auto.ria.com/uk/auto_volvo_s60_34654738.html
Smart Fortwo 2018,Smart,Fortwo,2018,67000,8700,Електро,,Київ,2026-06-29,https://auto.ria.com/uk/auto_smart_fortwo_40083342.html
BMW 5 Series 2014,BMW,5,2014,181000,13200,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_bmw_5-series_40083294.html
Ford Edge 2019,Ford,Edge,2019,248000,15500,Бензин,Автомат,Дубно,2026-06-29,https://auto.ria.com/uk/auto_ford_edge_39258031.html
Ford Fusion 2013,Ford,Fusion,2013,200000,11500,Бензин,Автомат,Кривий Ріг,2026-06-29,https://auto.ria.com/uk/auto_ford_fusion_40083098.html
Buick LaCrosse 2014,Buick,LaCrosse,2014,102000,8900,Бензин,Типтронік,Київ,2026-06-29,https://auto.ria.com/uk/auto_buick_lacrosse_39915967.html
Volvo 850 1992,Volvo,850,1992,300000,4000,Бензин,Ручна / Механіка,Полтава,2026-06-29,https://auto.ria.com/uk/auto_volvo_850_40082245.html
Ford Focus 2011,Ford,Focus,2011,101000,6800,Бензин,Ручна / Механіка,Дніпро (Дніпропетровськ),2026-06-28,https://auto.ria.com/uk/auto_ford_focus_40081612.html
Ford C-Max 2014,Ford,C-Max,2014,194000,9000,Гібрид,Автомат,Запоріжжя,2026-06-28,https://auto.ria.com/uk/auto_ford_c-max_40080997.html
Mazda 3 2004,Mazda,3,2004,330000,2900,Дизель,Ручна / Механіка,Запоріжжя,2026-06-28,https://auto.ria.com/uk/auto_mazda_3_40080250.html
Audi Q8 2026,Audi,Q8,2026,1000,104999,Дизель,Автомат,Одеса,2026-06-27,https://auto.ria.com/uk/auto_audi_q8_39506647.html
Kia Sorento 2013,Kia,Sorento,2013,154000,16600,Дизель,Автомат,Першотравенськ (Дніпропетровська),2026-06-27,https://auto.ria.com/uk/auto_kia_sorento_40078717.html
Audi Q7 2016,Audi,Q7,2016,115000,39500,Дизель,Автомат,Київ,,https://auto.ria.com/uk/auto_audi_q7_39996951.html
Chery QQ 2008,Chery,QQ,2008,112000,1750,Бензин,Ручна / Механіка,Старий Самбір,2026-06-27,https://auto.ria.com/uk/auto_chery_qq_40059118.html
Toyota Auris 2008,Toyota,Auris,2008,243000,7300,Бензин,Робот,Київ,,https://auto.ria.com/uk/auto_toyota_auris_39708993.html
Hyundai Kona 2020,Hyundai,Kona,2020,149000,17900,Електро,,Київ,,https://auto.ria.com/uk/auto_hyundai_kona_39721298.html
Toyota Auris 2011,Toyota,Auris,2011,182000,9500,Бензин,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_toyota_auris_40074185.html
Ford Fusion 2013,Ford,Fusion,2013,244000,7990,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_ford_fusion_39993744.html
BMW X7 2022,BMW,X7,2022,89000,78999,Бензин,Автомат,Одеса,2026-06-25,https://auto.ria.com/uk/auto_bmw_x7_39932379.html
Volkswagen Golf 2021,Volkswagen,Golf,2021,172000,21600,Дизель,Автомат,Вінниця,2026-06-25,https://auto.ria.com/uk/auto_volkswagen_golf_40068517.html
BMW X5 2025,BMW,X5,2025,1000,106999,Дизель,Автомат,Одеса,2026-06-25,https://auto.ria.com/uk/auto_bmw_x5_40068298.html
Volkswagen Jetta 2012,Volkswagen,Jetta,2012,231000,8800,Бензин,Автомат,Кривий Ріг,2026-06-24,https://auto.ria.com/uk/auto_volkswagen_jetta_39919755.html
Porsche Cayenne 2018,Porsche,Cayenne,2018,82000,44999,Бензин,Автомат,Одеса,2026-06-24,https://auto.ria.com/uk/auto_porsche_cayenne_39625092.html
Toyota Corolla 2013,Toyota,Corolla,2013,256000,6490,Бензин,Ручна / Механіка,Київ,,https://auto.ria.com/uk/auto_toyota_corolla_39987939.html
Volkswagen Golf 2016,Volkswagen,Golf,2016,255000,12750,Дизель,Автомат,Дрогобич,2026-06-24,https://auto.ria.com/uk/auto_volkswagen_golf_40062986.html
Chevrolet Equinox 2015,Chevrolet,Equinox,2015,116000,11500,Бензин,Автомат,Київ,2026-06-24,https://auto.ria.com/uk/auto_chevrolet_equinox_40062688.html
Lexus RX 2007,Lexus,RX,2007,198000,8999,Бензин,Автомат,Охтирка,2026-06-24,https://auto.ria.com/uk/auto_lexus_rx_40062407.html
Kia Optima 2014,Kia,Optima,2014,165000,8990,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_kia_optima_39987438.html
Audi Q7 2013,Audi,Q7,2013,240000,15900,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-23,https://auto.ria.com/uk/auto_audi_q7_40056956.html
Mercedes-Benz GLS-Class 2017,Mercedes-Benz,GLS-Class,2017,112000,30000,Бензин,Автомат,Київ,2026-06-22,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_34475615.html
SEAT Ibiza 2007,SEAT,Ibiza,2007,224000,4990,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_seat_ibiza_39986873.html
Mercedes-Benz Vito 2017,Mercedes-Benz,Vito,2017,335000,17400,Дизель,Ручна / Механіка,Біла Церква,2026-06-22,https://auto.ria.com/uk/auto_mercedes-benz_vito_39585277.html
Nissan Qashqai 2014,Nissan,Qashqai,2014,208000,13999,Дизель,Ручна / Механіка,Кропивницький (Кіровоград),2026-06-22,https://auto.ria.com/uk/auto_nissan_qashqai_38931249.html
Mitsubishi Lancer 2011,Mitsubishi,Lancer,2011,141000,8199,Бензин,Ручна / Механіка,Васильків,2026-06-22,https://auto.ria.com/uk/auto_mitsubishi_lancer_40052631.html
Mitsubishi Outlander 2017,Mitsubishi,Outlander,2017,141000,15600,Бензин,Варіатор,Київ,2026-06-20,https://auto.ria.com/uk/auto_mitsubishi_outlander_40047414.html
Mercedes-Benz GLE-Class 2021,Mercedes-Benz,GLE-Class,2021,62000,60000,Гібрид,Автомат,Київ,2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39923999.html
